year,month,month_padded,month_long,month_short,day,day_padded,day_ord,date_1,date_2,date_3,births
1994,1,01,January,Jan,1,01,1st,"1st January, 1994","Jan 1, 1994",1994-01-01,8096
1994,1,01,January,Jan,2,02,2nd,"2nd January, 1994","Jan 2, 1994",1994-01-02,7772
1994,1,01,January,Jan,3,03,3rd,"3rd January, 1994","Jan 3, 1994",1994-01-03,10142
1994,1,01,January,Jan,4,04,4th,"4th January, 1994","Jan 4, 1994",1994-01-04,11248
1994,1,01,January,Jan,5,05,5th,"5th January, 1994","Jan 5, 1994",1994-01-05,11053
1994,1,01,January,Jan,6,06,6th,"6th January, 1994","Jan 6, 1994",1994-01-06,11406
1994,1,01,January,Jan,7,07,7th,"7th January, 1994","Jan 7, 1994",1994-01-07,11251
1994,1,01,January,Jan,8,08,8th,"8th January, 1994","Jan 8, 1994",1994-01-08,8653
1994,1,01,January,Jan,9,09,9th,"9th January, 1994","Jan 9, 1994",1994-01-09,7910
1994,1,01,January,Jan,10,10,10th,"10th January, 1994","Jan 10, 1994",1994-01-10,10498
1994,1,01,January,Jan,11,11,11th,"11th January, 1994","Jan 11, 1994",1994-01-11,11706
1994,1,01,January,Jan,12,12,12th,"12th January, 1994","Jan 12, 1994",1994-01-12,11567
1994,1,01,January,Jan,13,13,13th,"13th January, 1994","Jan 13, 1994",1994-01-13,11212
1994,1,01,January,Jan,14,14,14th,"14th January, 1994","Jan 14, 1994",1994-01-14,11570
1994,1,01,January,Jan,15,15,15th,"15th January, 1994","Jan 15, 1994",1994-01-15,8660
1994,1,01,January,Jan,16,16,16th,"16th January, 1994","Jan 16, 1994",1994-01-16,8123
1994,1,01,January,Jan,17,17,17th,"17th January, 1994","Jan 17, 1994",1994-01-17,10567
1994,1,01,January,Jan,18,18,18th,"18th January, 1994","Jan 18, 1994",1994-01-18,11541
1994,1,01,January,Jan,19,19,19th,"19th January, 1994","Jan 19, 1994",1994-01-19,11257
1994,1,01,January,Jan,20,20,20th,"20th January, 1994","Jan 20, 1994",1994-01-20,11682
1994,1,01,January,Jan,21,21,21st,"21st January, 1994","Jan 21, 1994",1994-01-21,11811
1994,1,01,January,Jan,22,22,22nd,"22nd January, 1994","Jan 22, 1994",1994-01-22,8833
1994,1,01,January,Jan,23,23,23rd,"23rd January, 1994","Jan 23, 1994",1994-01-23,8310
1994,1,01,January,Jan,24,24,24th,"24th January, 1994","Jan 24, 1994",1994-01-24,11125
1994,1,01,January,Jan,25,25,25th,"25th January, 1994","Jan 25, 1994",1994-01-25,11981
1994,1,01,January,Jan,26,26,26th,"26th January, 1994","Jan 26, 1994",1994-01-26,11514
1994,1,01,January,Jan,27,27,27th,"27th January, 1994","Jan 27, 1994",1994-01-27,11702
1994,1,01,January,Jan,28,28,28th,"28th January, 1994","Jan 28, 1994",1994-01-28,11666
1994,1,01,January,Jan,29,29,29th,"29th January, 1994","Jan 29, 1994",1994-01-29,8988
1994,1,01,January,Jan,30,30,30th,"30th January, 1994","Jan 30, 1994",1994-01-30,8096
1994,1,01,January,Jan,31,31,31st,"31st January, 1994","Jan 31, 1994",1994-01-31,10765
1994,2,02,February,Feb,1,01,1st,"1st February, 1994","Feb 1, 1994",1994-02-01,11755
1994,2,02,February,Feb,2,02,2nd,"2nd February, 1994","Feb 2, 1994",1994-02-02,11483
1994,2,02,February,Feb,3,03,3rd,"3rd February, 1994","Feb 3, 1994",1994-02-03,11523
1994,2,02,February,Feb,4,04,4th,"4th February, 1994","Feb 4, 1994",1994-02-04,11677
1994,2,02,February,Feb,5,05,5th,"5th February, 1994","Feb 5, 1994",1994-02-05,8991
1994,2,02,February,Feb,6,06,6th,"6th February, 1994","Feb 6, 1994",1994-02-06,8309
1994,2,02,February,Feb,7,07,7th,"7th February, 1994","Feb 7, 1994",1994-02-07,10984
1994,2,02,February,Feb,8,08,8th,"8th February, 1994","Feb 8, 1994",1994-02-08,12152
1994,2,02,February,Feb,9,09,9th,"9th February, 1994","Feb 9, 1994",1994-02-09,11515
1994,2,02,February,Feb,10,10,10th,"10th February, 1994","Feb 10, 1994",1994-02-10,11623
1994,2,02,February,Feb,11,11,11th,"11th February, 1994","Feb 11, 1994",1994-02-11,11517
1994,2,02,February,Feb,12,12,12th,"12th February, 1994","Feb 12, 1994",1994-02-12,8945
1994,2,02,February,Feb,13,13,13th,"13th February, 1994","Feb 13, 1994",1994-02-13,8171
1994,2,02,February,Feb,14,14,14th,"14th February, 1994","Feb 14, 1994",1994-02-14,11551
1994,2,02,February,Feb,15,15,15th,"15th February, 1994","Feb 15, 1994",1994-02-15,12164
1994,2,02,February,Feb,16,16,16th,"16th February, 1994","Feb 16, 1994",1994-02-16,12009
1994,2,02,February,Feb,17,17,17th,"17th February, 1994","Feb 17, 1994",1994-02-17,11674
1994,2,02,February,Feb,18,18,18th,"18th February, 1994","Feb 18, 1994",1994-02-18,11887
1994,2,02,February,Feb,19,19,19th,"19th February, 1994","Feb 19, 1994",1994-02-19,8946
1994,2,02,February,Feb,20,20,20th,"20th February, 1994","Feb 20, 1994",1994-02-20,8402
1994,2,02,February,Feb,21,21,21st,"21st February, 1994","Feb 21, 1994",1994-02-21,10617
1994,2,02,February,Feb,22,22,22nd,"22nd February, 1994","Feb 22, 1994",1994-02-22,11810
1994,2,02,February,Feb,23,23,23rd,"23rd February, 1994","Feb 23, 1994",1994-02-23,11776
1994,2,02,February,Feb,24,24,24th,"24th February, 1994","Feb 24, 1994",1994-02-24,11667
1994,2,02,February,Feb,25,25,25th,"25th February, 1994","Feb 25, 1994",1994-02-25,11905
1994,2,02,February,Feb,26,26,26th,"26th February, 1994","Feb 26, 1994",1994-02-26,8988
1994,2,02,February,Feb,27,27,27th,"27th February, 1994","Feb 27, 1994",1994-02-27,8195
1994,2,02,February,Feb,28,28,28th,"28th February, 1994","Feb 28, 1994",1994-02-28,11091
1994,3,03,March,Mar,1,01,1st,"1st March, 1994","Mar 1, 1994",1994-03-01,12127
1994,3,03,March,Mar,2,02,2nd,"2nd March, 1994","Mar 2, 1994",1994-03-02,11735
1994,3,03,March,Mar,3,03,3rd,"3rd March, 1994","Mar 3, 1994",1994-03-03,11984
1994,3,03,March,Mar,4,04,4th,"4th March, 1994","Mar 4, 1994",1994-03-04,12066
1994,3,03,March,Mar,5,05,5th,"5th March, 1994","Mar 5, 1994",1994-03-05,9215
1994,3,03,March,Mar,6,06,6th,"6th March, 1994","Mar 6, 1994",1994-03-06,8389
1994,3,03,March,Mar,7,07,7th,"7th March, 1994","Mar 7, 1994",1994-03-07,10996
1994,3,03,March,Mar,8,08,8th,"8th March, 1994","Mar 8, 1994",1994-03-08,12275
1994,3,03,March,Mar,9,09,9th,"9th March, 1994","Mar 9, 1994",1994-03-09,11780
1994,3,03,March,Mar,10,10,10th,"10th March, 1994","Mar 10, 1994",1994-03-10,11792
1994,3,03,March,Mar,11,11,11th,"11th March, 1994","Mar 11, 1994",1994-03-11,11939
1994,3,03,March,Mar,12,12,12th,"12th March, 1994","Mar 12, 1994",1994-03-12,9087
1994,3,03,March,Mar,13,13,13th,"13th March, 1994","Mar 13, 1994",1994-03-13,8248
1994,3,03,March,Mar,14,14,14th,"14th March, 1994","Mar 14, 1994",1994-03-14,11092
1994,3,03,March,Mar,15,15,15th,"15th March, 1994","Mar 15, 1994",1994-03-15,12298
1994,3,03,March,Mar,16,16,16th,"16th March, 1994","Mar 16, 1994",1994-03-16,11865
1994,3,03,March,Mar,17,17,17th,"17th March, 1994","Mar 17, 1994",1994-03-17,11976
1994,3,03,March,Mar,18,18,18th,"18th March, 1994","Mar 18, 1994",1994-03-18,11799
1994,3,03,March,Mar,19,19,19th,"19th March, 1994","Mar 19, 1994",1994-03-19,8944
1994,3,03,March,Mar,20,20,20th,"20th March, 1994","Mar 20, 1994",1994-03-20,8243
1994,3,03,March,Mar,21,21,21st,"21st March, 1994","Mar 21, 1994",1994-03-21,11140
1994,3,03,March,Mar,22,22,22nd,"22nd March, 1994","Mar 22, 1994",1994-03-22,11964
1994,3,03,March,Mar,23,23,23rd,"23rd March, 1994","Mar 23, 1994",1994-03-23,11637
1994,3,03,March,Mar,24,24,24th,"24th March, 1994","Mar 24, 1994",1994-03-24,11904
1994,3,03,March,Mar,25,25,25th,"25th March, 1994","Mar 25, 1994",1994-03-25,11568
1994,3,03,March,Mar,26,26,26th,"26th March, 1994","Mar 26, 1994",1994-03-26,8957
1994,3,03,March,Mar,27,27,27th,"27th March, 1994","Mar 27, 1994",1994-03-27,8189
1994,3,03,March,Mar,28,28,28th,"28th March, 1994","Mar 28, 1994",1994-03-28,11051
1994,3,03,March,Mar,29,29,29th,"29th March, 1994","Mar 29, 1994",1994-03-29,12154
1994,3,03,March,Mar,30,30,30th,"30th March, 1994","Mar 30, 1994",1994-03-30,11540
1994,3,03,March,Mar,31,31,31st,"31st March, 1994","Mar 31, 1994",1994-03-31,11782
1994,4,04,April,Apr,1,01,1st,"1st April, 1994","Apr 1, 1994",1994-04-01,10630
1994,4,04,April,Apr,2,02,2nd,"2nd April, 1994","Apr 2, 1994",1994-04-02,8782
1994,4,04,April,Apr,3,03,3rd,"3rd April, 1994","Apr 3, 1994",1994-04-03,7530
1994,4,04,April,Apr,4,04,4th,"4th April, 1994","Apr 4, 1994",1994-04-04,10909
1994,4,04,April,Apr,5,05,5th,"5th April, 1994","Apr 5, 1994",1994-04-05,11876
1994,4,04,April,Apr,6,06,6th,"6th April, 1994","Apr 6, 1994",1994-04-06,11811
1994,4,04,April,Apr,7,07,7th,"7th April, 1994","Apr 7, 1994",1994-04-07,11718
1994,4,04,April,Apr,8,08,8th,"8th April, 1994","Apr 8, 1994",1994-04-08,11532
1994,4,04,April,Apr,9,09,9th,"9th April, 1994","Apr 9, 1994",1994-04-09,8791
1994,4,04,April,Apr,10,10,10th,"10th April, 1994","Apr 10, 1994",1994-04-10,8183
1994,4,04,April,Apr,11,11,11th,"11th April, 1994","Apr 11, 1994",1994-04-11,11060
1994,4,04,April,Apr,12,12,12th,"12th April, 1994","Apr 12, 1994",1994-04-12,12146
1994,4,04,April,Apr,13,13,13th,"13th April, 1994","Apr 13, 1994",1994-04-13,11428
1994,4,04,April,Apr,14,14,14th,"14th April, 1994","Apr 14, 1994",1994-04-14,11709
1994,4,04,April,Apr,15,15,15th,"15th April, 1994","Apr 15, 1994",1994-04-15,11753
1994,4,04,April,Apr,16,16,16th,"16th April, 1994","Apr 16, 1994",1994-04-16,8790
1994,4,04,April,Apr,17,17,17th,"17th April, 1994","Apr 17, 1994",1994-04-17,7867
1994,4,04,April,Apr,18,18,18th,"18th April, 1994","Apr 18, 1994",1994-04-18,11094
1994,4,04,April,Apr,19,19,19th,"19th April, 1994","Apr 19, 1994",1994-04-19,11966
1994,4,04,April,Apr,20,20,20th,"20th April, 1994","Apr 20, 1994",1994-04-20,11585
1994,4,04,April,Apr,21,21,21st,"21st April, 1994","Apr 21, 1994",1994-04-21,11509
1994,4,04,April,Apr,22,22,22nd,"22nd April, 1994","Apr 22, 1994",1994-04-22,11553
1994,4,04,April,Apr,23,23,23rd,"23rd April, 1994","Apr 23, 1994",1994-04-23,8613
1994,4,04,April,Apr,24,24,24th,"24th April, 1994","Apr 24, 1994",1994-04-24,8089
1994,4,04,April,Apr,25,25,25th,"25th April, 1994","Apr 25, 1994",1994-04-25,10909
1994,4,04,April,Apr,26,26,26th,"26th April, 1994","Apr 26, 1994",1994-04-26,12236
1994,4,04,April,Apr,27,27,27th,"27th April, 1994","Apr 27, 1994",1994-04-27,11701
1994,4,04,April,Apr,28,28,28th,"28th April, 1994","Apr 28, 1994",1994-04-28,11527
1994,4,04,April,Apr,29,29,29th,"29th April, 1994","Apr 29, 1994",1994-04-29,11474
1994,4,04,April,Apr,30,30,30th,"30th April, 1994","Apr 30, 1994",1994-04-30,8621
1994,5,05,May,May,1,01,1st,"1st May, 1994","May 1, 1994",1994-05-01,8145
1994,5,05,May,May,2,02,2nd,"2nd May, 1994","May 2, 1994",1994-05-02,11169
1994,5,05,May,May,3,03,3rd,"3rd May, 1994","May 3, 1994",1994-05-03,12023
1994,5,05,May,May,4,04,4th,"4th May, 1994","May 4, 1994",1994-05-04,11754
1994,5,05,May,May,5,05,5th,"5th May, 1994","May 5, 1994",1994-05-05,11958
1994,5,05,May,May,6,06,6th,"6th May, 1994","May 6, 1994",1994-05-06,11904
1994,5,05,May,May,7,07,7th,"7th May, 1994","May 7, 1994",1994-05-07,8641
1994,5,05,May,May,8,08,8th,"8th May, 1994","May 8, 1994",1994-05-08,8203
1994,5,05,May,May,9,09,9th,"9th May, 1994","May 9, 1994",1994-05-09,10914
1994,5,05,May,May,10,10,10th,"10th May, 1994","May 10, 1994",1994-05-10,11771
1994,5,05,May,May,11,11,11th,"11th May, 1994","May 11, 1994",1994-05-11,11278
1994,5,05,May,May,12,12,12th,"12th May, 1994","May 12, 1994",1994-05-12,11822
1994,5,05,May,May,13,13,13th,"13th May, 1994","May 13, 1994",1994-05-13,11085
1994,5,05,May,May,14,14,14th,"14th May, 1994","May 14, 1994",1994-05-14,8830
1994,5,05,May,May,15,15,15th,"15th May, 1994","May 15, 1994",1994-05-15,8253
1994,5,05,May,May,16,16,16th,"16th May, 1994","May 16, 1994",1994-05-16,11103
1994,5,05,May,May,17,17,17th,"17th May, 1994","May 17, 1994",1994-05-17,12289
1994,5,05,May,May,18,18,18th,"18th May, 1994","May 18, 1994",1994-05-18,11668
1994,5,05,May,May,19,19,19th,"19th May, 1994","May 19, 1994",1994-05-19,11411
1994,5,05,May,May,20,20,20th,"20th May, 1994","May 20, 1994",1994-05-20,11645
1994,5,05,May,May,21,21,21st,"21st May, 1994","May 21, 1994",1994-05-21,8830
1994,5,05,May,May,22,22,22nd,"22nd May, 1994","May 22, 1994",1994-05-22,8449
1994,5,05,May,May,23,23,23rd,"23rd May, 1994","May 23, 1994",1994-05-23,11434
1994,5,05,May,May,24,24,24th,"24th May, 1994","May 24, 1994",1994-05-24,12562
1994,5,05,May,May,25,25,25th,"25th May, 1994","May 25, 1994",1994-05-25,12005
1994,5,05,May,May,26,26,26th,"26th May, 1994","May 26, 1994",1994-05-26,11979
1994,5,05,May,May,27,27,27th,"27th May, 1994","May 27, 1994",1994-05-27,12132
1994,5,05,May,May,28,28,28th,"28th May, 1994","May 28, 1994",1994-05-28,8840
