date,variable,value
1967-07-01,pce,506.7
1967-08-01,pce,509.8
1967-09-01,pce,515.6
1967-10-01,pce,512.2
1967-11-01,pce,517.4
1967-12-01,pce,525.1
1968-01-01,pce,530.9
1968-02-01,pce,533.6
1968-03-01,pce,544.3
1968-04-01,pce,544
1968-05-01,pce,549.8
1968-06-01,pce,556.3
1968-07-01,pce,563.2
1968-08-01,pce,567
1968-09-01,pce,568.2
1968-10-01,pce,571.6
1968-11-01,pce,576.7
1968-12-01,pce,576.5
1969-01-01,pce,583.5
1969-02-01,pce,588.7
1969-03-01,pce,588.9
1969-04-01,pce,593.9
1969-05-01,pce,600.3
1969-06-01,pce,600.9
1969-07-01,pce,602.7
1969-08-01,pce,609.9
1969-09-01,pce,613.2
1969-10-01,pce,618.5
1969-11-01,pce,620.5
1969-12-01,pce,622.8
1970-01-01,pce,628.7
1970-02-01,pce,634
1970-03-01,pce,632.3
1970-04-01,pce,636
1970-05-01,pce,642.4
1970-06-01,pce,646.3
1970-07-01,pce,648.5
1970-08-01,pce,652.9
1970-09-01,pce,659.1
1970-10-01,pce,658.3
1970-11-01,pce,656.6
1970-12-01,pce,665.6
1971-01-01,pce,676.1
1971-02-01,pce,679.4
1971-03-01,pce,682
1971-04-01,pce,688.8
1971-05-01,pce,691.1
1971-06-01,pce,699.8
1971-07-01,pce,698.9
1971-08-01,pce,704.9
1971-09-01,pce,713
1971-10-01,pce,715.8
1971-11-01,pce,720.9
1971-12-01,pce,728.4
1972-01-01,pce,731.5
1972-02-01,pce,736.2
1972-03-01,pce,749.2
1972-04-01,pce,752.5
1972-05-01,pce,758
1972-06-01,pce,761.6
1972-07-01,pce,769.9
1972-08-01,pce,776.3
1972-09-01,pce,781.1
1972-10-01,pce,794.9
1972-11-01,pce,800.5
1972-12-01,pce,806.1
1973-01-01,pce,816.5
1973-02-01,pce,825.8
1973-03-01,pce,832.8
1973-04-01,pce,835.7
1973-05-01,pce,841.6
1973-06-01,pce,844.3
1973-07-01,pce,854.1
1973-08-01,pce,853.3
1973-09-01,pce,869.2
1973-10-01,pce,868.2
1973-11-01,pce,876.9
1973-12-01,pce,876.6
1974-01-01,pce,884.5
1974-02-01,pce,889.7
1974-03-01,pce,901.4
1974-04-01,pce,910.8
1974-05-01,pce,922.4
1974-06-01,pce,928
1974-07-01,pce,937.9
1974-08-01,pce,954.8
1974-09-01,pce,955.1
1974-10-01,pce,959.2
1974-11-01,pce,956.2
1974-12-01,pce,961.8
1975-01-01,pce,975.6
1975-02-01,pce,989.4
1975-03-01,pce,990.6
1975-04-01,pce,995
1975-05-01,pce,1018.9
1975-06-01,pce,1026.8
1975-07-01,pce,1039.8
1975-08-01,pce,1047
1975-09-01,pce,1054.8
1975-10-01,pce,1060.9
1975-11-01,pce,1075.8
1975-12-01,pce,1092.1
1976-01-01,pce,1107.1
1976-02-01,pce,1107.7
1976-03-01,pce,1114.9
1976-04-01,pce,1125.4
1976-05-01,pce,1122.7
1976-06-01,pce,1140.5
1976-07-01,pce,1149.6
1976-08-01,pce,1158
1976-09-01,pce,1168.8
1976-10-01,pce,1176.8
1976-11-01,pce,1189
1976-12-01,pce,1211.5
1977-01-01,pce,1215
1977-02-01,pce,1231.3
1977-03-01,pce,1238.3
1977-04-01,pce,1247.3
1977-05-01,pce,1257.1
1977-06-01,pce,1263.6
1977-07-01,pce,1280.5
1977-08-01,pce,1285.7
1977-09-01,pce,1294.5
1977-10-01,pce,1311.4
1977-11-01,pce,1327
1977-12-01,pce,1336
1978-01-01,pce,1329.5
1978-02-01,pce,1355.1
1978-03-01,pce,1377.5
1978-04-01,pce,1396.4
1978-05-01,pce,1412
1978-06-01,pce,1425.8
1978-07-01,pce,1426.8
1978-08-01,pce,1447
1978-09-01,pce,1452.9
1978-10-01,pce,1466.9
1978-11-01,pce,1480.6
1978-12-01,pce,1496.5
1979-01-01,pce,1502.4
1979-02-01,pce,1517.8
1979-03-01,pce,1531.2
1979-04-01,pce,1538.4
1979-05-01,pce,1558.8
1979-06-01,pce,1575.7
1979-07-01,pce,1586.1
1979-08-01,pce,1615.6
1979-09-01,pce,1633.9
1979-10-01,pce,1641.6
1979-11-01,pce,1657.3
1979-12-01,pce,1666.3
1980-01-01,pce,1697.3
1980-02-01,pce,1701.4
1980-03-01,pce,1708.2
1980-04-01,pce,1695.2
1980-05-01,pce,1700.1
1980-06-01,pce,1718.8
1980-07-01,pce,1747.1
1980-08-01,pce,1763.8
1980-09-01,pce,1780.5
1980-10-01,pce,1817.1
1980-11-01,pce,1826.8
1980-12-01,pce,1851.7
1981-01-01,pce,1870
1981-02-01,pce,1884.2
1981-03-01,pce,1902.9
1981-04-01,pce,1904.4
1981-05-01,pce,1913.8
1981-06-01,pce,1934.5
1981-07-01,pce,1942.1
1981-08-01,pce,1966.6
1981-09-01,pce,1965.5
1981-10-01,pce,1963.9
1981-11-01,pce,1970.6
1981-12-01,pce,1988.8
1982-01-01,pce,1997.1
1982-02-01,pce,2021.2
1982-03-01,pce,2024.1
1982-04-01,pce,2026.3
1982-05-01,pce,2044.5
1982-06-01,pce,2048.1
1982-07-01,pce,2072.2
1982-08-01,pce,2080.1
1982-09-01,pce,2104.6
