sex,lifeStage,scientificName,n
female,adult,Acartia hudsonica,609
female,adult,Acartia longiremis,913
female,adult,Acartia tonsa,1
female,adult,Bradyidius saanichi,76
female,adult,Calanus marshallae,479
female,adult,Calanus pacificus,1380
female,adult,Candacia bipinnata,7
female,adult,Candacia columbiae,258
female,adult,Centropages abdominalis,357
female,adult,Chiridius gracilis,140
female,adult,Ctenocalanus vanus,1
female,adult,Ditrichocorycaeus anglicus,1727
female,adult,Epilabidocera longipedata,476
female,adult,Eucalanus bungii,381
female,adult,Eucalanus californicus,4
female,adult,Eucalanus hyalinus,1
female,adult,Euchirella pseudopulchra,2
female,adult,Euchirella pulchra,9
female,adult,Euphausia pacifica,1
female,adult,Gaetanus miles,1
female,adult,Gaetanus minutus,1
female,adult,Gaetanus pungens,1
female,adult,Gaetanus simplex,3
female,adult,Gaidius tenuispinus,3
female,adult,Heterorhabdus tanneri,3
female,adult,Mesocalanus tenuicornis,3
female,adult,Meterythrops robustus,2
female,adult,Metridia pacifica,1205
female,adult,Monothula subtilis,30
female,adult,Neocalanus cristatus,5
female,adult,Neocalanus plumchrus,8
female,adult,Oithona atlantica,571
female,adult,Oithona similis,1774
female,adult,Oncaea prolata,8
female,adult,Pacifacanthomysis nephrophthalma,1
female,adult,Paraeuchaeta elongata,211
female,adult,Pasiphaea pacifica,2
female,adult,Pseudocalanus mimus,380
female,adult,Pseudocalanus minutus,90
female,adult,Pseudocalanus moultoni,1313
female,adult,Pseudocalanus newmani,1345
female,adult,Racovitzanus antarcticus,40
female,adult,Scaphocalanus brevicornis,5
female,adult,Scaphocalanus echinatus,3
female,adult,Scolecithricella dentata,2
female,adult,Scolecithricella minor,221
female,adult,Scolecithricella ovata,3
female,adult,Spinocalanus brevicaudatus,1
female,adult,Tharybis fultoni,29
female,adult,Themisto pacifica,1
female,adult,Tortanus discaudatus,337
female,adult,Triconia borealis,522
female,adult,Triconia canadensis,10
female,adult,Triconia conifera,104
female,adult,Triconia minuta,292
female,adult,Triconia similis,5
female,adult,Xantharus cryeri,1
indeterminate,adult,Epilabidocera longipedata,5
indeterminate,adult,Euphausia pacifica,335
indeterminate,adult,Nematoscelis difficilis,1
indeterminate,adult,Paraeuchaeta elongata,1
indeterminate,adult,Themisto pacifica,1
indeterminate,adult,Thysanoessa longipes,4
indeterminate,adult,Thysanoessa raschii,89
indeterminate,adult,Thysanoessa spinifera,14
indeterminate,adult,Tortanus discaudatus,1
